scientific_name,vernacular_name,genus,subgenus,taxon_rank,family_name,exotic,threatened_species_status
Melaleuca decora,,Melaleuca,,,Myrtaceae,f,
Melaleuca ericifolia,,Melaleuca,,,Myrtaceae,f,
Melaleuca linariifolia,,Melaleuca,,,Myrtaceae,f,
Melaleuca nodosa,,Melaleuca,,,Myrtaceae,f,
Melaleuca quinquenervia,,Melaleuca,,,Myrtaceae,f,
Melaleuca styphelioides,,Melaleuca,,,Myrtaceae,f,
Melaleuca thymifolia,,Melaleuca,,,Myrtaceae,f,
Melia azedarach,,Melia,,,Meliaceae,f,
Melichrus procumbens,,Melichrus,,,Ericaceae,f,
Melicope micrococca,,Melicope,,,Rutaceae,f,
Mentha diemenica,,Mentha,,,Lamiaceae,f,
Micrantheum ericoides,,Micrantheum,,,Euphorbiaceae,f,
Microlaena stipoides,,Microlaena,,,Poaceae,f,
Microtis unifolia,,Microtis,,,Orchidaceae,f,
Mirbelia rubiifolia,,Mirbelia,,,Fabaceae,f,
Mitrasacme paludosa,,Mitrasacme,,,Loganiaceae,f,
Mitrasacme polymorpha,,Mitrasacme,,,Loganiaceae,f,
Monotoca elliptica,,Monotoca,,,Ericaceae,f,
Monotoca scoparia,,Monotoca,,,Ericaceae,f,
Muehlenbeckia gracillima,,Muehlenbeckia,,,Polygonaceae,f,
Muellerina celastroides,,Muellerina,,,Loranthaceae,f,
Muellerina eucalyptoides,,Muellerina,,,Loranthaceae,f,
Myoporum acuminatum,,Myoporum,,,Scrophulariaceae,f,
Myoporum insulare,,Myoporum,,,Scrophulariaceae,f,
Myrsine howittiana,,Myrsine,,,Primulaceae,f,
Myrsine variabilis,,Myrsine,,,Primulaceae,f,
Nephrolepis cordifolia,,Nephrolepis,,,Nephrolepidaceae,f,
Notelaea longifolia,,Notelaea,,,Oleaceae,f,
Notelaea ovata,,Notelaea,,,Oleaceae,f,
Olearia elliptica,,Olearia,,,Asteraceae,f,
Olearia microphylla,,Olearia,,,Asteraceae,f,
Olearia viscidula,,Olearia,,,Asteraceae,f,
Omphacomeria acerba,,Omphacomeria,,,Santalaceae,f,
Opercularia aspera,,Opercularia,,,Rubiaceae,f,
Opercularia diphylla,,Opercularia,,,Rubiaceae,f,
Opercularia hispida,,Opercularia,,,Rubiaceae,f,
Opercularia varia,,Opercularia,,,Rubiaceae,f,
Oplismenus hirtellus,,Oplismenus,,,Poaceae,f,
Orianthera pusilla,,Orianthera,,,Pittosporaceae,f,
Oxalis exilis,,Oxalis,,,Oxalidaceae,f,
Oxalis perennans,,Oxalis,,,Oxalidaceae,f,
Oxytes brachypoda,,Oxytes,,,Oxalidaceae,f,
Ozothamnus diosmifolius,,Ozothamnus,,,Asteraceae,f,
Pandorea pandorana,,Pandorea,,,Bignoniaceae,f,
Panicum effusum,,Panicum,,,Poaceae,f,
Panicum simile,,Panicum,,,Poaceae,f,
Parsonsia lanceolata,,Parsonsia,,,Apocynaceae,f,
Parsonsia straminea,,Parsonsia,,,Apocynaceae,f,
Paspalidium criniforme,,Paspalidium,,,Poaceae,f,
Paspalidium distans,,Paspalidium,,,Poaceae,f,
Paspalum vaginatum,,Paspalum,,,Poaceae,f,
Passiflora herbertiana,,Passiflora,,,Passifloraceae,f,
Patersonia glabrata,,Patersonia,,,Iridaceae,f,
Patersonia sericea,,Patersonia,,,Iridaceae,f,
Pelargonium inodorum,,Pelargonium,,,Geraniaceae,f,
Pellaea falcata,,Pellaea,,,Pteridaceae,f,
Persicaria decipiens,,Persicaria,,,Polygonaceae,f,
Persicaria hydropiper,,Persicaria,,,Polygonaceae,f,
Persicaria lapathifolia,,Persicaria,,,Polygonaceae,f,
Persicaria orientalis,,Persicaria,,,Polygonaceae,f,
Persoonia lanceolata,,Persoonia,,,Proteaceae,f,
Persoonia levis,,Persoonia,,,Proteaceae,f,
Persoonia linearis,,Persoonia,,,Proteaceae,f,
Allocasuarina diminuta,,Allocasuarina,,species,Casuarinaceae,f,endangered population
Petrophile sessilis,,Petrophile,,,Proteaceae,f,
Philotheca myoporoides,,Philotheca,,,Rutaceae,f,
Philydrum lanuginosum,,Philydrum,,,Philydraceae,f,
Phragmites australis,,Phragmites,,,Poaceae,f,
Phyllanthus gunnii,,Phyllanthus,,,Phyllanthaceae,f,
Phyllanthus hirtellus,,Phyllanthus,,,Phyllanthaceae,f,
Phyllanthus virgatus,,Phyllanthus,,,Phyllanthaceae,f,
Phyllota phylicoides,,Phyllota,,,Fabaceae,f,
Pimelea linifolia,,Pimelea,,,Thymelaeaceae,f,
Grevillea parviflora,,Grevillea,,,Proteaceae,f,vulnerable
Pittosporum revolutum,,Pittosporum,,,Pittosporaceae,f,
Pittosporum undulatum,,Pittosporum,,,Pittosporaceae,f,
Plantago debilis,,Plantago,,,Plantaginaceae,f,
Plantago gaudichaudii,,Plantago,,,Plantaginaceae,f,
Platysace ericoides,,Platysace,,,Apiaceae,f,
Platysace linearifolia,,Platysace,,,Apiaceae,f,
Plectranthus parviflorus,,Plectranthus,,,Lamiaceae,f,
Poa affinis,,Poa,,,Poaceae,f,
Podocarpus spinulosus,,Podocarpus,,,Podocarpaceae,f,
Podolobium ilicifolium,,Podolobium,,,Fabaceae,f,
Polygala japonica,,Polygala,,,Polygalaceae,f,
Polymeria calycina,,Polymeria,,,Convolvulaceae,f,
Pomaderris discolor,,Pomaderris,,,Rhamnaceae,f,
Pomaderris ferruginea,,Pomaderris,,,Rhamnaceae,f,
Pomaderris intermedia,,Pomaderris,,,Rhamnaceae,f,
Pomaderris lanigera,,Pomaderris,,,Rhamnaceae,f,
Pomaderris ligustrina,,Pomaderris,,,Rhamnaceae,f,
Pomax umbellata,,Pomax,,,Rubiaceae,f,
Poranthera ericifolia,,Poranthera,,,Phyllanthaceae,f,
Poranthera microphylla,,Poranthera,,,Phyllanthaceae,f,
Portulaca oleracea,,Portulaca,,,Portulacaceae,f,
Potamogeton crispus,,Potamogeton,,,Potamogetonaceae,f,
Potamogeton ochreatus,,Potamogeton,,,Potamogetonaceae,f,
Prasophyllum elatum,,Prasophyllum,,,Orchidaceae,f,
Pseuderanthemum variabile,,Pseuderanthemum,,,Acanthaceae,f,
Pseudognaphalium luteoalbum,,Pseudognaphalium,,,Asteraceae,f,
Pteridium esculentum,,Pteridium,,,Dennstaedtiaceae,f,
Pteris tremula,,Pteris,,,Pteridaceae,f,
Pterostylis acuminata,,Pterostylis,,,Orchidaceae,f,
Pterostylis concinna,,Pterostylis,,,Orchidaceae,f,
Pterostylis grandiflora,,Pterostylis,,,Orchidaceae,f,
Pterostylis longifolia,,Pterostylis,,,Orchidaceae,f,
Pterostylis mutica,,Pterostylis,,,Orchidaceae,f,
Pterostylis nutans,,Pterostylis,,,Orchidaceae,f,
Pterostylis obtusa,,Pterostylis,,,Orchidaceae,f,
Pterostylis revoluta,,Pterostylis,,,Orchidaceae,f,
Pterostylis rufa,,Pterostylis,,,Orchidaceae,f,
Pultenaea daphnoides,,Pultenaea,,,Fabaceae,f,
Pultenaea flexilis,,Pultenaea,,,Fabaceae,f,
Pultenaea hispidula,,Pultenaea,,,Fabaceae,f,
Pomaderris prunifolia,,Pomaderris,,,Rhamnaceae,f,endangered population
Pultenaea retusa,,Pultenaea,,,Fabaceae,f,
Pultenaea tuberculata,,Pultenaea,,,Fabaceae,f,
Pultenaea villosa,,Pultenaea,,,Fabaceae,f,
Macadamia tetraphylla,,Macadamia,,,Proteaceae,f,vulnerable
Rhytidosporum procumbens,,Rhytidosporum,,,Pittosporaceae,f,
Ricinocarpos pinifolius,,Ricinocarpos,,,Euphorbiaceae,f,
Rorippa laciniata,,Rorippa,,,Brassicaceae,f,
Rubus parvifolius,,Rubus,,,Rosaceae,f,
Rumex brownii,,Rumex,,,Polygonaceae,f,
Rytidosperma bipartitum,,Rytidosperma,,,Poaceae,f,
Rytidosperma caespitosum,,Rytidosperma,,,Poaceae,f,
Rytidosperma fulvum,,Rytidosperma,,,Poaceae,f,
Rytidosperma longifolium,,Rytidosperma,,,Poaceae,f,
Rytidosperma monticola,,Rytidosperma,,,Poaceae,f,
Rytidosperma pallidum,,Rytidosperma,,,Poaceae,f,
Rytidosperma pilosum,,Rytidosperma,,,Poaceae,f,
Rytidosperma racemosum,,Rytidosperma,,,Poaceae,f,
Rytidosperma setaceum,,Rytidosperma,,,Poaceae,f,
Samolus repens,,Samolus,,,Primulaceae,f,
Sannantha pluriflora,,Sannantha,,,Myrtaceae,f,
Sarcopetalum harveyanum,,Sarcopetalum,,,Menispermaceae,f,
Scaevola albida,,Scaevola,,,Goodeniaceae,f,
Scaevola ramosissima,,Scaevola,,,Goodeniaceae,f,
Schizomeria ovata,,Schizomeria,,,Cunoniaceae,f,
Schoenoplectus subulatus,,Schoenoplectus,,,Cyperaceae,f,
Schoenus apogon,,Schoenus,,,Cyperaceae,f,
Schoenus ericetorum,,Schoenus,,,Cyperaceae,f,
Schoenus melanostachys,,Schoenus,,,Cyperaceae,f,
Schoenus moorei,,Schoenus,,,Cyperaceae,f,
Schoenus nitens,,Schoenus,,,Cyperaceae,f,
Scutellaria humilis,,Scutellaria,,,Lamiaceae,f,
Selliera radicans,,Selliera,,,Goodeniaceae,f,
Senecio diaschides,,Senecio,,,Asteraceae,f,
Senecio hispidulus,,Senecio,,,Asteraceae,f,
Senecio minimus,,Senecio,,,Asteraceae,f,
Senecio quadridentatus,,Senecio,,,Asteraceae,f,
Smilax australis,,Smilax,,,Smilacaceae,f,
Smilax glyciphylla,,Smilax,,,Smilacaceae,f,
Solanum aviculare,,Solanum,,,Solanaceae,f,
Solanum linearifolium,,Solanum,,,Solanaceae,f,
Solanum prinophyllum,,Solanum,,,Solanaceae,f,
Solanum stelligerum,,Solanum,,,Solanaceae,f,
Solenogyne bellioides,,Solenogyne,,,Asteraceae,f,
Sorghum leiocladum,,Sorghum,,,Poaceae,f,
Sporobolus creber,,Sporobolus,,,Poaceae,f,
Sporobolus elongatus,,Sporobolus,,,Poaceae,f,
Stackhousia viminea,,Stackhousia,,,Celastraceae,f,
Stellaria flaccida,,Stellaria,,,Caryophyllaceae,f,
Stylidium graminifolium,,Stylidium,,,Stylidiaceae,f,
Stylidium lineare,,Stylidium,,,Stylidiaceae,f,
Stypandra glauca,,Stypandra,,,Hemerocallidaceae,f,
Suaeda australis,,Suaeda,,,Amaranthaceae,f,
Syncarpia glomulifera,,Syncarpia,,,Myrtaceae,f,
Telopea speciosissima,,Telopea,,,Proteaceae,f,
Tetragonia tetragonoides,,Tetragonia,,,Aizoaceae,f,
Tetratheca neglecta,,Tetratheca,,,Elaeocarpaceae,f,
Thelionema caespitosum,,Thelionema,,,Hemerocallidaceae,f,
Thelymitra carnea,,Thelymitra,,,Orchidaceae,f,
Thelymitra pauciflora,,Thelymitra,,,Orchidaceae,f,
Thelymitra peniculata,,Thelymitra,,,Orchidaceae,f,
Themeda triandra,,Themeda,,,Poaceae,f,
Thysanotus juncifolius,,Thysanotus,,,Asparagaceae,f,
Trachymene incisa,,Trachymene,,,Apiaceae,f,
Trema tomentosa,,Trema,,,Cannabaceae,f,
Tricoryne elatior,,Tricoryne,,,Asparagaceae,f,
Tricoryne simplex,,Tricoryne,,,Asparagaceae,f,
Triglochin striata,,Triglochin,,,Juncaginaceae,f,
Vincetoxicum barbatum,,Vincetoxicum,,,Apocynaceae,f,
Typha orientalis,,Typha,,,Typhaceae,f,
Urtica incisa,,Urtica,,,Urticaceae,f,
Opuntia leoglossa,Lion's Tongue,Opuntia,,species,Cactaceae,f,
Rhamnus alaternus,Blowfly Bush,Rhamnus,,species,Rhamnaceae,f,
Dillwynia floribunda,Showy Parrot-pea,Dillwynia,,species,Fabaceae,f,
Melaleuca diosmatifolia,Pink Honeymyrtle,Melaleuca,,species,Myrtaceae,f,
Avicennia marina,White Mangrove,Avicennia,,species,Acanthaceae,f,
Convolvulus farinosus,Wild Bindweed,Convolvulus,,species,Convolvulaceae,f,
Lolium arundinaceum,Tall Fescue,Lolium,,species,Poaceae,f,
Gladiolus carneus,Broad-leaf Painted Lady,Gladiolus,,species,Iridaceae,f,
Sonchus asper,Rough Sow-thistle,Sonchus,,species,Asteraceae,f,
Pterostylis saxicola,,Pterostylis,,,Orchidaceae,f,endangered
Syzygium paniculatum,,Syzygium,,,Myrtaceae,f,vulnerable
Portulaca grandiflora,,Portulaca,,species,Portulacaceae,f,
Oxalis debilis,Pink Shamrock,Oxalis,,species,Oxalidaceae,f,
Nymphaea mexicana,Mexican Water-lily,Nymphaea,,species,Nymphaeaceae,f,
Linum usitatissimum,Field Flax,Linum,,species,Linaceae,f,
Tillandsia usneoides,Spanish Moss,Tillandsia,,species,Bromeliaceae,f,
Aloe arborescens,Tree Aloe,Aloe,,species,Asphodelaceae,f,
Acacia filicifolia,Fern-leaved Wattle,Acacia,,species,Fabaceae,f,
Senna pendula,,Senna,,species,Fabaceae,f,
Corunastylis filiformis,Glandular Midge Orchid,Corunastylis,,species,Orchidaceae,f,
Euphorbia tirucalli,Naked Lady,Euphorbia,,species,Euphorbiaceae,f,
Agave attenuata,Foxtail Agave,Agave,,species,Asparagaceae,f,
Nothoscordum gracile,,Nothoscordum,,species,Alliaceae,f,
Triticum aestivum,Wheat,Triticum,,species,Poaceae,f,
Opuntia monacantha,Drooping Prickly Pear,Opuntia,,species,Cactaceae,f,
Dockrillia linguiformis,Tongue Orchid,Dockrillia,,species,Orchidaceae,f,
Prunus armeniaca,Apricot,Prunus,,species,Rosaceae,f,
Ludwigia peploides,,Ludwigia,,species,Onagraceae,f,
Euphorbia serpens,Matted Sandmat,Euphorbia,,species,Euphorbiaceae,f,
Euphorbia prostrata,Prostrate Spurge,Euphorbia,,species,Euphorbiaceae,f,
Billardiera mutabilis,Common Apple-berry,Billardiera,,species,Pittosporaceae,f,
Paraserianthes lophantha,Cape Leeuwin Wattle,Paraserianthes,,species,Fabaceae,f,
Bryophyllum pinnatum,Resurrection Plant,Bryophyllum,,species,Crassulaceae,f,
Leucopogon affinis,Lance Beard-heath,Leucopogon,,species,Ericaceae,f,
Acalypha australis,,Acalypha,,species,Euphorbiaceae,f,
Westringia eremicola,Slender Westringia,Westringia,,species,Lamiaceae,f,
Opuntia ficus-indica,Indian Fig,Opuntia,,species,Cactaceae,f,
Crassocephalum crepidioides,Thickhead,Crassocephalum,,species,Asteraceae,f,
Tragopogon porrifolius,Salsify,Tragopogon,,species,Asteraceae,f,
Urospermum picroides,False Hawkbit,Urospermum,,species,Asteraceae,f,
Mirabilis jalapa,Marvel-of-peru,Mirabilis,,species,Nyctaginaceae,f,
Plantago major,Greater Plantain,Plantago,,species,Plantaginaceae,f,
Crassula multicava,,Crassula,,species,Crassulaceae,f,
Colocasia esculenta,Taro,Colocasia,,species,Araceae,f,
Correa alba,White Correa,Correa,,species,Rutaceae,f,
Alstroemeria psittacina,Parrot Lily,Alstroemeria,,species,Alstroemeriaceae,f,
Coleonema pulchellum,Pink Diosma,Coleonema,,species,Rutaceae,f,
Rumex hypogaeus,Spiny Emex,Rumex,,species,Polygonaceae,f,
Erechtites valerianifolius,Brazilian Fireweed,Erechtites,,species,Asteraceae,f,
Viburnum odoratissimum,,Viburnum,,species,Viburnaceae,f,
Conium maculatum,Hemlock,Conium,,species,Apiaceae,f,
Stenanthera pinifolia,Pine Heath,Stenanthera,,species,Ericaceae,f,
Cosmos sulphureus,Orange Cosmos,Cosmos,,species,Asteraceae,f,
Acacia irrorata,Green Wattle,Acacia,,species,Fabaceae,f,
Solanum lycopersicum,Lycopersicon,Solanum,,species,Solanaceae,f,
Rostraria cristata,Annual Cats-tail,Rostraria,,species,Poaceae,f,
Afrohybanthus stellarioides,,Afrohybanthus,,species,Violaceae,f,
Drosera binata,Forked Sundew,Drosera,,species,Droseraceae,f,
Dolichandra unguis-cati,Cat's Claw Creeper,Dolichandra,,species,Bignoniaceae,f,
Justicia carnea,,Justicia,,species,Acanthaceae,f,
Euphorbia maculata,Eyebane,Euphorbia,,species,Euphorbiaceae,f,
Auranticarpa rhombifolia,Diamond-leaf Pittosporum,Auranticarpa,,species,Pittosporaceae,f,
Schinus molle,Pepper-tree,Schinus,,species,Anacardiaceae,f,
Papaver somniferum,Opium Poppy,Papaver,,species,Papaveraceae,f,
Avicennia marina subsp. australasica,Grey Mangrove,Avicennia,,subspecies,Acanthaceae,f,
Sphagneticola trilobata,Sphagneticola,Sphagneticola,,species,Asteraceae,f,
Casuarina cunninghamiana,River She-oak,Casuarina,,species,Casuarinaceae,f,
Hypoestes aristata,,Hypoestes,,species,Acanthaceae,f,
Freesia leichtlinii,Freesia,Freesia,,species,Iridaceae,f,
Fumaria muralis,Fumitory,Fumaria,,species,Papaveraceae,f,
Avena barbata,Bearded Oats,Avena,,species,Poaceae,f,
Freesia laxa,Freesia,Freesia,,species,Iridaceae,f,
Abutilon grandifolium,Hairy Abutilon,Abutilon,,species,Malvaceae,f,
Styphelia laeta subsp. laeta,,Styphelia,,subspecies,Ericaceae,f,
Zantedeschia aethiopica,White Arum Lily,Zantedeschia,,species,Araceae,f,
Pyracantha crenulata,Nepal Firethorn,Pyracantha,,species,Rosaceae,f,
Liriope muscari,Big Blue Lilyturf,Liriope,,species,Asparagaceae,f,
Plectranthus intraterraneus,Cockspur Flower,Plectranthus,,species,Lamiaceae,f,
Eucalyptus polyanthemos,Red Box,Eucalyptus,,species,Myrtaceae,f,
Polypogon viridis,Water Bent,Polypogon,,species,Poaceae,f,
Corunastylis fimbriata,Fringed Midge Orchid,Corunastylis,,species,Orchidaceae,f,
Triadica sebifera,Chinese Tallowood,Triadica,,species,Euphorbiaceae,f,
Lobularia maritima,Sweet Alyssum,Lobularia,,species,Brassicaceae,f,
Banksia robur,Swamp Broad-leaved Banksia,Banksia,,species,Proteaceae,f,
Gomphocarpus physocarpus,Balloon Cotton-bush,Gomphocarpus,,species,Apocynaceae,f,
Salvia hispanica,Chia,Salvia,,species,Lamiaceae,f,
Romulea rosea,Onion Grass,Romulea,,species,Iridaceae,f,
Convolvulus angustissimus,Blushing Bindweed,Convolvulus,,species,Convolvulaceae,f,
Juncus kraussii,Sea Rush,Juncus,,species,Juncaceae,f,
Epilobium ciliatum,Glandular Willow-herb,Epilobium,,species,Onagraceae,f,
Murraya koenigii,Murraya,Murraya,,species,Rutaceae,f,
Fumaria capreolata,White-flowered Fumitory,Fumaria,,species,Papaveraceae,f,
Acacia dealbata,Silver Wattle,Acacia,,species,Fabaceae,f,
Senna didymobotrya,Popcorn Bush,Senna,,species,Fabaceae,f,
Persea americana,Avocado,Persea,,species,Lauraceae,f,
Holcus lanatus,Yorkshire Fog,Holcus,,species,Poaceae,f,
Thaumatophyllum bipinnatifidum,Philodendron,Thaumatophyllum,,species,Araceae,f,
Piper sarmentosum,,Piper,,species,Piperaceae,f,
Sagina apetala,Common Pearlwort,Sagina,,species,Caryophyllaceae,f,
Typha latifolia,Lesser Reed-mace,Typha,,species,Typhaceae,f,
Salicornia quinqueflora,Beaded Glasswort,Salicornia,,species,Chenopodiaceae,f,
Petroselinum crispum,Parsley,Petroselinum,,species,Apiaceae,f,
Erigeron canadensis,Canadian Fleabane,Erigeron,,species,Asteraceae,f,
Youngia japonica,,Youngia,,species,Asteraceae,f,
Manihot grahamii,,Manihot,,species,Euphorbiaceae,f,
Syngonium podophyllum,Arrowhead Vine,Syngonium,,species,Araceae,f,
Melilotus albus,Bokhara Clover,Melilotus,,species,Fabaceae,f,
Senecio angulatus,Cape Ivy,Senecio,,species,Asteraceae,f,
Cucurbita moschata,Squash,Cucurbita,,species,Cucurbitaceae,f,
Corunastylis rufa,Red Midge-orchid,Corunastylis,,species,Orchidaceae,f,
Euphorbia hyssopifolia,Euphorbia,Euphorbia,,species,Euphorbiaceae,f,
Tritonia gladiolaris,Lined Tritonia,Tritonia,,species,Iridaceae,f,
Medicago lupulina,Black Medic,Medicago,,species,Fabaceae,f,
Xyris complanata,Yellow-eye,Xyris,,species,Xyridaceae,f,
Lysimachia loeflingii,,Lysimachia,,species,Primulaceae,f,
Epidendrum radicans,,Epidendrum,,species,Orchidaceae,f,
Begonia cucullata,,Begonia,,species,Begoniaceae,f,
Dactyloctenium aegyptium,Coast Button Grass,Dactyloctenium,,species,Poaceae,f,
Heliotropium amplexicaule,Blue Heliotrope,Heliotropium,,species,Boraginaceae,f,
Fraxinus griffithii,,Fraxinus,,species,Oleaceae,f,
Grevillea rosmarinifolia,Rosemary Grevillea,Grevillea,,species,Proteaceae,f,
Gladiolus dalenii,Natal Lily,Gladiolus,,species,Iridaceae,f,
Physalis angulata,Wild Gooseberry,Physalis,,species,Solanaceae,f,
Populus deltoides,,Populus,,species,Salicaceae,f,
Cryptostylis subulata,Large Tongue-orchid,Cryptostylis,,species,Orchidaceae,f,
Acacia longissima,Flax Wattle,Acacia,,species,Fabaceae,f,
Cymbalaria muralis,Ivy-leaf Toadflax,Cymbalaria,,species,Plantaginaceae,f,
Leontodon rhagadioloides,Hedypnois,Leontodon,,species,Asteraceae,f,
Narcissus tazetta,Polyanthus Narcissus,Narcissus,,species,Amaryllidaceae,f,
Goodenia hederacea subsp. hederacea,Ivy Goodenia,Goodenia,,subspecies,Goodeniaceae,f,
Calystegia silvatica,Greater Bindweed,Calystegia,,species,Convolvulaceae,f,
Anethum graveolens,Dill,Anethum,,species,Apiaceae,f,
Paspalum notatum,Bahia Grass,Paspalum,,species,Poaceae,f,
Antigonon leptopus,Antigonon,Antigonon,,species,Polygonaceae,f,
Solidago altissima,Goldenrod,Solidago,,species,Asteraceae,f,
Notelaea venosa,Smooth Mock-olive,Notelaea,,species,Oleaceae,f,
Acacia iteaphylla,Flinders Range Wattle,Acacia,,species,Fabaceae,f,
Pilea microphylla,Military Fern,Pilea,,species,Urticaceae,f,
Rothmannia globosa,,Rothmannia,,species,Rubiaceae,f,
Gamochaeta americana,Spiked Cudweed,Gamochaeta,,species,Asteraceae,f,
Centaurea cyanus,Cornflower,Centaurea,,species,Asteraceae,f,
Vincetoxicum woollsii,Cryptic Forest Twiner,Vincetoxicum,,species,Apocynaceae,f,
Callistemon pallidus,Lemon Bottlebrush,Callistemon,,species,Myrtaceae,f,
Dracaena fragrans,,Dracaena,,species,Asparagaceae,f,
Allium triquetrum,Angled Onion,Allium,,species,Alliaceae,f,
Papaver dubium,Long-headed Poppy,Papaver,,species,Papaveraceae,f,
Cereus hildmannianus,,Cereus,,species,Cactaceae,f,
Desmodium rhytidophyllum,Desmodium,Desmodium,,species,Fabaceae,f,
Ruellia squarrosa,,Ruellia,,species,Acanthaceae,f,
Oenothera mollissima,,Oenothera,,species,Onagraceae,f,
Lactuca sativa,Lettuce,Lactuca,,species,Asteraceae,f,
Diuris punctata,Purple Donkey Orchid,Diuris,,species,Orchidaceae,f,
Artemisia verlotiorum,Chinese Wormwood,Artemisia,,species,Asteraceae,f,
Geranium molle,Soft Geranium,Geranium,,species,Geraniaceae,f,
Sorghum bicolor,Grain Sorghum,Sorghum,,species,Poaceae,f,
Rubus laudatus,Blackberry,Rubus,,species,Rosaceae,f,
Hibiscus mutabilis,,Hibiscus,,species,Malvaceae,f,
Aeonium arboreum,Golden Tree Aeonium,Aeonium,,species,Crassulaceae,f,
Ipheion uniflorum,Spring Star-flower,Ipheion,,species,Alliaceae,f,
Cotoneaster coriaceus,Milk-flower Cotoneaster,Cotoneaster,,species,Rosaceae,f,
Vittadinia gracilis,Woolly New Holland Daisy,Vittadinia,,species,Asteraceae,f,
Helichrysum petiolare,Liquorice Plant,Helichrysum,,species,Asteraceae,f,
Cyperus congestus,Dense Flat-sedge,Cyperus,,species,Cyperaceae,f,
Styphelia laeta,,Styphelia,,species,Ericaceae,f,
Thunbergia grandiflora,Sky Flower,Thunbergia,,species,Acanthaceae,f,
Campsis radicans,,Campsis,,species,Bignoniaceae,f,
Sisymbrium irio,London Rocket,Sisymbrium,,species,Brassicaceae,f,
Euphorbia ophthalmica,Florida Hammock Sandmat (usa),Euphorbia,,species,Euphorbiaceae,f,
Plantago myosuros,,Plantago,,species,Plantaginaceae,f,
Hippeastrum zephyranthum,Zephyr Lily,Hippeastrum,,species,Amaryllidaceae,f,
Rogiera amoena,,Rogiera,,species,Rubiaceae,f,
Euphorbia oblongata,Balkan Spurge,Euphorbia,,species,Euphorbiaceae,f,
Coronidium elatum,,Coronidium,,species,Asteraceae,f,
Trachelospermum jasminoides,,Trachelospermum,,species,Apocynaceae,f,
Lamium amplexicaule,Deadnettle,Lamium,,species,Lamiaceae,f,
Digitaria aequiglumis,Argentinian Crabgrass,Digitaria,,species,Poaceae,f,
Einadia nutans subsp. nutans,Climbing Saltbush,Einadia,,subspecies,Chenopodiaceae,f,
Austrostipa rudis subsp. nervosa,Veined Spear-grass,Austrostipa,,subspecies,Poaceae,f,
Persoonia laurina subsp. intermedia,,Persoonia,,subspecies,Proteaceae,f,
Wahlenbergia littoricola,Coast Bluebell,Wahlenbergia,,species,Campanulaceae,f,
Lomandra multiflora subsp. multiflora,Lomandra,Lomandra,,subspecies,Asparagaceae,f,
Eucalyptus robusta x Eucalyptus tereticornis,,Eucalyptus,,species,Myrtaceae,f,
Almaleea paludosa,Marsh Bush-pea,Almaleea,,species,Fabaceae,f,
Teucrium argutum,Native Germander,Teucrium,,species,Lamiaceae,f,
Cymbidium canaliculatum,Tiger Orchid,Cymbidium,,species,Orchidaceae,f,endangered population
Pyrus communis,Pear,Pyrus,,species,Rosaceae,f,
Ipomoea carnea,,Ipomoea,,species,Convolvulaceae,f,
Limnobium laevigatum,Amazon Frogbit,Limnobium,,species,Hydrocharitaceae,f,
Leucopogon attenuatus,Grey Beard-heath,Leucopogon,,species,Ericaceae,f,
Solanum betaceum,Tamarillo,Solanum,,species,Solanaceae,f,
Cyperus tetraphyllus,,Cyperus,,species,Cyperaceae,f,
Juncus polyanthemus,,Juncus,,species,Juncaceae,f,
Nicandra physalodes,Apple Of Peru,Nicandra,,species,Solanaceae,f,
Euphorbia lathyris,Caper Spurge,Euphorbia,,species,Euphorbiaceae,f,
Anthosachne kingiana subsp. multiflora,Philip Island Wheatgrass,Anthosachne,,subspecies,Poaceae,f,
Basella alba,Indian Spinach,Basella,,species,Basellaceae,f,
Euphorbia milii,,Euphorbia,,species,Euphorbiaceae,f,
Nymphoides montana,Marshwort,Nymphoides,,species,Menyanthaceae,f,
Leontodon saxatilis,Lesser Hawkbit,Leontodon,,species,Asteraceae,f,
Caladenia capillata,White Daddy-long-legs,Caladenia,,species,Orchidaceae,f,
Schoenoplectiella erecta,Soft Club-sedge,Schoenoplectiella,,species,Cyperaceae,f,
Schoenoplectus tabernaemontani,River Club-rush,Schoenoplectus,,species,Cyperaceae,f,
Cardamine occulta,Flick Weed,Cardamine,,species,Brassicaceae,f,
Poa labillardierei,Common Tussock-grass,Poa,,species,Poaceae,f,
Passiflora foetida,Stinking Passionfruit,Passiflora,,species,Passifloraceae,f,
Rumex vesicarius,Bladder Dock,Rumex,,species,Polygonaceae,f,
Juncus capillaceus,String Rush,Juncus,,species,Juncaceae,f,
Cassytha phaeolasia,Rusty Dodder-laurel,Cassytha,,species,Lauraceae,f,
Hedera hibernica,Ivy,Hedera,,species,Araliaceae,f,
Darwinia fascicularis,,Darwinia,,species,Myrtaceae,f,endangered population
Lepidosperma concavum,Sandhill Sword-sedge,Lepidosperma,,species,Cyperaceae,f,
Amaranthus powellii,Powell's Amaranth,Amaranthus,,species,Amaranthaceae,f,
Acacia burkittii,Sandhill Wattle,Acacia,,species,Fabaceae,f,
Austrostipa elegantissima,Feather Spear-grass,Austrostipa,,species,Poaceae,f,
Philotheca obovalis,,Philotheca,,species,Rutaceae,f,
Litsea leefeana,Sycamore,Litsea,,species,Lauraceae,f,
Polyosma rigidiuscula,,Polyosma,,species,Escalloniaceae,f,
