scientific_name,vernacular_name,genus,subgenus,taxon_rank,family_name,exotic,threatened_species_status
Acacia linifolia,,Acacia,,,Fabaceae,f,
Acacia longifolia,,Acacia,,,Fabaceae,f,
Acacia maidenii,,Acacia,,,Fabaceae,f,
Acacia mearnsii,,Acacia,,,Fabaceae,f,
Acacia myrtifolia,,Acacia,,,Fabaceae,f,
Acacia parramattensis,,Acacia,,,Fabaceae,f,
Acacia parvipinnula,,Acacia,,,Fabaceae,f,
Acacia stricta,,Acacia,,,Fabaceae,f,
Acacia suaveolens,,Acacia,,,Fabaceae,f,
Acacia prominens,,Acacia,,,Fabaceae,f,endangered population
Acacia ulicifolia,,Acacia,,,Fabaceae,f,
Acianthus caudatus,,Acianthus,,,Orchidaceae,f,
Acianthus fornicatus,,Acianthus,,,Orchidaceae,f,
Actinotus helianthi,,Actinotus,,,Araliaceae,f,
Actinotus minor,,Actinotus,,,Araliaceae,f,
Adiantum aethiopicum,,Adiantum,,,Pteridaceae,f,
Aegiceras corniculatum,,Aegiceras,,,Primulaceae,f,
Allocasuarina littoralis,,Allocasuarina,,,Casuarinaceae,f,
Allocasuarina paludosa,,Allocasuarina,,,Casuarinaceae,f,
Allocasuarina torulosa,,Allocasuarina,,,Casuarinaceae,f,
Alocasia brisbanensis,,Alocasia,,,Araceae,f,
Alphitonia excelsa,,Alphitonia,,,Rhamnaceae,f,
Alternanthera denticulata,,Alternanthera,,,Amaranthaceae,f,
Amyema gaudichaudii,,Amyema,,,Loranthaceae,f,
Amyema miquelii,,Amyema,,,Loranthaceae,f,
Amyema pendula,,Amyema,,,Loranthaceae,f,
Angophora bakeri,,Angophora,,,Myrtaceae,f,
Angophora costata,,Angophora,,,Myrtaceae,f,
Angophora floribunda,,Angophora,,,Myrtaceae,f,
Angophora hispida,,Angophora,,,Myrtaceae,f,
Angophora subvelutina,,Angophora,,,Myrtaceae,f,
Anisopogon avenaceus,,Anisopogon,,,Poaceae,f,
Anthosachne scabra,,Anthosachne,,,Poaceae,f,
Aristida ramosa,,Aristida,,,Poaceae,f,
Aristida warburgii,,Aristida,,,Poaceae,f,
Arthropodium milleflorum,,Arthropodium,,,Asparagaceae,f,
Arthropodium minus,,Arthropodium,,,Asparagaceae,f,
Asperula conferta,,Asperula,,,Rubiaceae,f,
Asplenium flabellifolium,,Asplenium,,,Aspleniaceae,f,
Astroloma humifusum,,Astroloma,,,Ericaceae,f,
Atriplex australasica,,Atriplex,,,Chenopodiaceae,f,
Atriplex semibaccata,,Atriplex,,,Chenopodiaceae,f,
Austrostipa pubescens,,Austrostipa,,,Poaceae,f,
Austrostipa ramosissima,,Austrostipa,,,Poaceae,f,
Austrostipa setacea,,Austrostipa,,,Poaceae,f,
Backhousia myrtifolia,,Backhousia,,,Myrtaceae,f,
Baeckea diosmifolia,,Baeckea,,,Myrtaceae,f,
Banksia ericifolia,,Banksia,,,Proteaceae,f,
Banksia integrifolia,,Banksia,,,Proteaceae,f,
Banksia marginata,,Banksia,,,Proteaceae,f,
Banksia oblongifolia,,Banksia,,,Proteaceae,f,
Banksia serrata,,Banksia,,,Proteaceae,f,
Banksia spinulosa,,Banksia,,,Proteaceae,f,
Billardiera scandens,,Billardiera,,,Pittosporaceae,f,
Bolboschoenus caldwellii,,Bolboschoenus,,,Cyperaceae,f,
Bolboschoenus fluviatilis,,Bolboschoenus,,,Cyperaceae,f,
Boronia ledifolia,,Boronia,,,Rutaceae,f,
Bossiaea heterophylla,,Bossiaea,,,Fabaceae,f,
Bossiaea prostrata,,Bossiaea,,,Fabaceae,f,
Bossiaea scolopendria,,Bossiaea,,,Fabaceae,f,
Bothriochloa macra,,Bothriochloa,,,Poaceae,f,
Brachychiton acerifolius,,Brachychiton,,,Malvaceae,f,
Brachychiton populneus,,Brachychiton,,,Malvaceae,f,
Brachyloma daphnoides,,Brachyloma,,,Ericaceae,f,
Breynia oblongifolia,,Breynia,,,Phyllanthaceae,f,
Brunoniella australis,,Brunoniella,,,Goodeniaceae,f,
Brunoniella pumilio,,Brunoniella,,,Goodeniaceae,f,
Burchardia umbellata,,Burchardia,,,Colchicaceae,f,
Bursaria spinosa,,Bursaria,,,Pittosporaceae,f,
Chorizema parviflorum,,Chorizema,,,Fabaceae,f,endangered population
Caladenia carnea,,Caladenia,,,Orchidaceae,f,
Caladenia catenata,,Caladenia,,,Orchidaceae,f,
Caladenia picta,,Caladenia,,,Orchidaceae,f,
Calandrinia pickeringii,,Calandrinia,,,Montiaceae,f,
Callicoma serratifolia,,Callicoma,,,Cunoniaceae,f,
Callistemon citrinus,,Callistemon,,,Myrtaceae,f,
Callistemon linearis,,Callistemon,,,Myrtaceae,f,
Callistemon pinifolius,,Callistemon,,,Myrtaceae,f,
Callistemon salignus,,Callistemon,,,Myrtaceae,f,
Callistemon sieberi,,Callistemon,,,Myrtaceae,f,
Callistemon viminalis,,Callistemon,,,Myrtaceae,f,
Callitris rhomboidea,,Callitris,,,Cupressaceae,f,
Calochilus campestris,,Calochilus,,,Orchidaceae,f,
Calochilus paludosus,,Calochilus,,,Orchidaceae,f,
Calochlaena dubia,,Calochlaena,,,Dicksoniaceae,f,
Calotis cuneifolia,,Calotis,,,Asteraceae,f,
Calotis dentex,,Calotis,,,Asteraceae,f,
Calotis lappulacea,,Calotis,,,Asteraceae,f,
Calystegia marginata,,Calystegia,,,Convolvulaceae,f,
Carex appressa,,Carex,,,Cyperaceae,f,
Carex breviculmis,,Carex,,,Cyperaceae,f,
Carex inversa,,Carex,,,Cyperaceae,f,
Carex pumila,,Carex,,,Cyperaceae,f,
Cassinia aureonitens,,Cassinia,,,Asteraceae,f,
Cassinia laevis,,Cassinia,,,Asteraceae,f,
Cassinia longifolia,,Cassinia,,,Asteraceae,f,
Cassinia sifton,,Cassinia,,,Asteraceae,f,
Cassinia trinerva,,Cassinia,,,Asteraceae,f,
Cassytha glabella,,Cassytha,,,Lauraceae,f,
Cassytha pubescens,,Cassytha,,,Lauraceae,f,
Casuarina glauca,,Casuarina,,,Casuarinaceae,f,
Caustis flexuosa,,Caustis,,,Cyperaceae,f,
Cayratia clematidea,,Cayratia,,,Vitaceae,f,
Cenchrus purpurascens,,Cenchrus,,,Poaceae,f,
Centella asiatica,,Centella,,,Araliaceae,f,
Ceratopetalum apetalum,,Ceratopetalum,,,Cunoniaceae,f,
Ceratopetalum gummiferum,,Ceratopetalum,,,Cunoniaceae,f,
Acacia pubescens,,Acacia,,,Fabaceae,f,vulnerable
Chloris truncata,,Chloris,,,Poaceae,f,
Chloris ventricosa,,Chloris,,,Poaceae,f,
Chrysocephalum apiculatum,,Chrysocephalum,,,Asteraceae,f,
Clematis aristata,,Clematis,,,Ranunculaceae,f,
Clematis glycinoides,,Clematis,,,Ranunculaceae,f,
Callistemon linearifolius,,Callistemon,,,Myrtaceae,f,vulnerable
Clerodendrum tomentosum,,Clerodendrum,,,Lamiaceae,f,
Comesperma ericinum,,Comesperma,,,Polygalaceae,f,
Commelina cyanea,,Commelina,,,Commelinaceae,f,
Commersonia dasyphylla,,Commersonia,,,Malvaceae,f,
Convolvulus erubescens,,Convolvulus,,,Convolvulaceae,f,
Coronidium oxylepis,,Coronidium,,,Asteraceae,f,
Coronidium scorpioides,,Coronidium,,,Asteraceae,f,
Corybas aconitiflorus,,Corybas,,,Orchidaceae,f,
Corymbia gummifera,,Corymbia,,,Myrtaceae,f,
Corymbia maculata,,Corymbia,,,Myrtaceae,f,
Cotula australis,,Cotula,,,Asteraceae,f,
Crassula sieberiana,,Crassula,,,Crassulaceae,f,
Crinum pedunculatum,,Crinum,,,Amaryllidaceae,f,
Cryptandra amara,,Cryptandra,,,Rhamnaceae,f,
Cryptandra propinqua,,Cryptandra,,,Rhamnaceae,f,
Cryptandra spinescens,,Cryptandra,,,Rhamnaceae,f,
Cryptostylis erecta,,Cryptostylis,,,Orchidaceae,f,
Cyanicula caerulea,,Cyanicula,,,Orchidaceae,f,
Cyanthillium cinereum,,Cyanthillium,,,Asteraceae,f,
Cyathochaeta diandra,,Cyathochaeta,,,Cyperaceae,f,
Cymbopogon refractus,,Cymbopogon,,,Poaceae,f,
Cynodon dactylon,,Cynodon,,,Poaceae,f,
Cyperus difformis,,Cyperus,,,Cyperaceae,f,
Cyperus gracilis,,Cyperus,,,Cyperaceae,f,
Cyperus imbecillis,,Cyperus,,,Cyperaceae,f,
Cyperus laevis,,Cyperus,,,Cyperaceae,f,
Cyperus polystachyos,,Cyperus,,,Cyperaceae,f,
Dampiera stricta,,Dampiera,,,Goodeniaceae,f,
Daviesia acicularis,,Daviesia,,,Fabaceae,f,
Daviesia corymbosa,,Daviesia,,,Fabaceae,f,
Dendrophthoe vitellina,,Dendrophthoe,,,Loranthaceae,f,
Denhamia silvestris,,Denhamia,,,Celastraceae,f,
Epacris purpurascens,,Epacris,,,Ericaceae,f,vulnerable
Deyeuxia quadriseta,,Deyeuxia,,,Poaceae,f,
Dianella caerulea,,Dianella,,,Asphodelaceae,f,
Dianella revoluta,,Dianella,,,Asphodelaceae,f,
Dichanthium sericeum,,Dichanthium,,,Poaceae,f,
Dichelachne crinita,,Dichelachne,,,Poaceae,f,
Dichelachne inaequiglumis,,Dichelachne,,,Poaceae,f,
Dichelachne micrantha,,Dichelachne,,,Poaceae,f,
Dichelachne parva,,Dichelachne,,,Poaceae,f,
Dichelachne rara,,Dichelachne,,,Poaceae,f,
Dichondra repens,,Dichondra,,,Convolvulaceae,f,
Digitaria didactyla,,Digitaria,,,Poaceae,f,
Digitaria parviflora,,Digitaria,,,Poaceae,f,
Digitaria ramularis,,Digitaria,,,Poaceae,f,
Dillwynia parvifolia,,Dillwynia,,,Fabaceae,f,
Dillwynia retorta,,Dillwynia,,,Fabaceae,f,
Dillwynia sericea,,Dillwynia,,,Fabaceae,f,
Dillwynia sieberi,,Dillwynia,,,Fabaceae,f,
Dipodium punctatum,,Dipodium,,,Orchidaceae,f,
Dipodium variegatum,,Dipodium,,,Orchidaceae,f,
Diuris aurea,,Diuris,,,Orchidaceae,f,
Diuris maculata,,Diuris,,,Orchidaceae,f,
Diuris sulphurea,,Diuris,,,Orchidaceae,f,
Dodonaea multijuga,,Dodonaea,,,Sapindaceae,f,
Dodonaea triquetra,,Dodonaea,,,Sapindaceae,f,
Drosera auriculata,,Drosera,,,Droseraceae,f,
Drosera glanduligera,,Drosera,,,Droseraceae,f,
Drosera peltata,,Drosera,,,Droseraceae,f,
Drosera pygmaea,,Drosera,,,Droseraceae,f,
Drosera spatulata,,Drosera,,,Droseraceae,f,
Echinopogon caespitosus,,Echinopogon,,,Poaceae,f,
Echinopogon ovatus,,Echinopogon,,,Poaceae,f,
Eclipta prostrata,,Eclipta,,,Asteraceae,f,
Einadia hastata,,Einadia,,,Amaranthaceae,f,
Einadia polygonoides,,Einadia,,,Amaranthaceae,f,
Einadia trigonos,,Einadia,,,Amaranthaceae,f,
Elaeocarpus reticulatus,,Elaeocarpus,,,Elaeocarpaceae,f,
Eleocharis gracilis,,Eleocharis,,,Cyperaceae,f,
Eleocharis sphacelata,,Eleocharis,,,Cyperaceae,f,
Entolasia marginata,,Entolasia,,,Poaceae,f,
Entolasia whiteana,,Entolasia,,,Poaceae,f,
Epacris longiflora,,Epacris,,,Ericaceae,f,
Epacris microphylla,,Epacris,,,Ericaceae,f,
Epacris pulchella,,Epacris,,,Ericaceae,f,
Epilobium hirtigerum,,Epilobium,,,Onagraceae,f,
Eragrostis brownii,,Eragrostis,,,Poaceae,f,
Eragrostis leptostachya,,Eragrostis,,,Poaceae,f,
Eragrostis parviflora,,Eragrostis,,,Poaceae,f,
Eremophila debilis,,Eremophila,,,Scrophulariaceae,f,
Eriochloa pseudoacrotricha,,Eriochloa,,,Poaceae,f,
Eriostemon australasius,,Eriostemon,,,Rutaceae,f,
Eucalyptus acmenoides,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus amplifolia,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus baueriana,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus beyeriana,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus bosistoana,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus botryoides,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus capitellata,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus crebra,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus eugenioides,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus fibrosa,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus globoidea,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus grandis,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus longifolia,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus microcorys,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus moluccana,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus paniculata,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus pilularis,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus piperita,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus racemosa,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus resinifera,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus robusta,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus saligna,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus siderophloia,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus sideroxylon,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus tereticornis,,Eucalyptus,,,Myrtaceae,f,
Eucalyptus umbra,,Eucalyptus,,,Myrtaceae,f,
Euchiton involucratus,,Euchiton,,,Asteraceae,f,
Euchiton sphaericus,,Euchiton,,,Asteraceae,f,
