scientific_name,exotic,native,category
Cassinia ochracea,f,Native,Native
Juncus vaginatus,f,Native,Native
Dietes robinsoniana,f,Exotic,Exotic
Eucalyptus canaliculata,f,Native,Native
Notelaea johnsonii,f,Native,Native
Hibiscus brachysiphonius,f,Native,Native
Saccharum officinarum,f,Native,Native
Wahlenbergia stricta subsp. stricta,f,Native,Native
Abutilon theophrasti,f,Exotic,Exotic
Dizygotheca elegantissima,f,Exotic,Exotic
Heptapleurum arboricola,f,Exotic,Exotic
Plumbago zeylanica,f,Native,Native
Cissus alata,f,Exotic,Exotic
Russelia equisetiformis,f,Exotic,Exotic
Asterolasia correifolia,f,Native,Native
Anisomeles moschata,f,Native,Native
Chloris barbata,f,Exotic,Exotic
Abutilon spp.,f,Native,Genus Only
Acacia melanoxylon,f,Native,Native
Acacia ramulosa,f,Native,Native
Acianthus sp.,f,Native,Native
Adiantum spp.,f,Native,Genus Only
Agapanthus africanus,f,Exotic,Exotic
Agapanthus sp.,f,Exotic,Exotic
Agave sp.,f,Exotic,Exotic
Agrostis billardieri,f,Native,Native
Agrostis sp.,f,Native,Native
Albizia lopantha,f,Native,Native
Alisma spp.,f,Native,Genus Only
Alocasia macrorrhizos,f,Native,Native
Alocasia spp.,f,Native,Genus Only
Aloe sp.,f,Exotic,Exotic
Alopecurus pratensis,f,Exotic,Exotic
Amaranthus spp.,f,Native,Genus Only
Amarathus retroflexus,f,,Genus Only
Amyema spp.,f,Native,Genus Only
Anigozanthos sp.,f,Native,Genus Only
Apium leptophyllus,f,Exotic,Exotic
Archontophoenix spp.,f,Native,Genus Only
Aristida spp.,f,Native,Genus Only
Arthropodium sp.,f,Native,Native
Arthropodium sp. b,f,Native,Native
Asparagus sp. ,f,Exotic,Exotic
Aspidistra elatior.,f,,Genus Only
Asteraceae spp.,f,Native,Genus Only
Atriplex sp.,f,Native,Native
Austrodanthonia spp.,f,Native,Genus Only
Austrostipa bigeniculata,f,Native,Native
Austrostipa rudis ssp. nervosa,f,Native,Native
Austrostipa rudis ssp. rudis,f,Native,Native
Austrostipa scaber ssp. falcata,f,Native,Genus Only
Austrostipa spp.,f,Native,Genus Only
Avicennia marina var australasica,f,Native,Native
Bambusa sp.,f,Exotic,Exotic
Banksia juncea,f,Native,Native
Baumea articulata,f,Native,Native
Blechnum sp.,f,Native,Native
Bossiaea sp.,f,Native,Native
Bossiaea stephensonii,f,Native,Native
Bothriochloa spp.,f,Native,Native
Bougainvillea sp.,f,Exotic,Exotic
Brachychiton australis,f,Native,Native
Brachysema lanceolata,f,Native,Native
Brassica sp.,f,Exotic,Exotic
Briza major,f,Exotic,Exotic
Bromeliad sp.,f,Exotic,Exotic
Buckinghamia celsissima,f,Native,Native
Caesia parviflora var vittata,f,Native,Native
Caesia parviflora var. vittata,f,Native,Native
Caesia sp.,f,Native,Genus Only
Caladenia paludosus,f,Native,Native
Callitris spp.,f,Native,Genus Only
Cassine australis,f,Native,Native
Facelis retusa,t,Exotic,Exotic
Cassine spp.,f,Native,Genus Only
Cassinia sp.,f,Native,Native
Cassytha spp.,f,Native,Genus Only
Casuarina cuneifolia,f,Native,Native
Caustis recurvata,f,Native,Native
Centaurium minus,f,Exotic,Exotic
Cerastium holosteoides,f,Exotic,Exotic
Cerastium holosteoidesn,f,Exotic,Exotic
Chamaesyce drummondii,f,Native,Native
Chamaesyce sp.,f,Native,Genus Only
Cheilanthes austrotenuifolia,f,Native,Native
Cheilanthes sieberi subsp. sieberi,f,Native,Native
Cheilanthes sp.,f,Native,Genus Only
Cheilanthes tenuifolia,f,Native,Native
Chenopodium spp.,f,Native,Genus Only
Chloris spp.,f,Exotic,Exotic
Chondrilla juncea,f,Exotic,Exotic
Choretrum candollei,f,Native,Native
Clivea sp.,f,Exotic,Genus Only
Cocos spp.,f,Exotic,Exotic
Commersonia fraseri,f,Native,Native
Conza albida,f,Exotic,Exotic
Cotula leptinella,f,Native,Native
Crassula sp. tetramera,f,Native,Native
Crataegus spp.,f,Exotic,Genus Only
Crinum spp.,f,Native,Genus Only
Culcita dubia,f,Native,Native
Cuscuta australis,f,Native,Native
Cymbopogon spp.,f,Native,Genus Only
Cyperus papyrus,f,Exotic,Exotic
Danthonia sp.,f,Native,Native
Dendrophthoe spp.,f,Native,Genus Only
Desmodium eugenioides,f,Native,Native
Desmodium spp.,f,Native,Genus Only
Dianella caerulea var. producta,f,Native,Native
Dianella longifolia var. longifolia,f,Native,Native
Dichanthium parva,f,Native,Native
Dichanthium repens,f,Native,Native
Dichanthium sp.,f,Native,Genus Only
Dichelachne sp.,f,Native,Genus Only
Dichondra sp. a,f,Native,Native
Dillwynia juniperina,f,Native,Native
Dimorphotheca sp.,f,Exotic,Genus Only
Diospyros kaki,f,Exotic,Exotic
Drosera spp.,f,Native,Genus Only
Echinopogon caespitosus var. caespitosus,f,Native,Native
Echinopogon spp.,f,Native,Genus Only
Eichhornia piperita,f,Exotic,Exotic
Eilobium billardierianum ssp. cinereum,f,Native,Native
Einadia nutans spp. linifolia,f,Native,Native
Elaeocarpus grandis,f,Native,Native
Eleocharis parvula,f,Exotic,Exotic
Entolasia spp.,f,Native,Genus Only
Epacris purpurascens var. purpurascens,f,Native,Native
Epidendrum ibaguense,f,Exotic,Exotic
Epilobium billardierianum ssp. cinereum,f,Native,Native
Eragrostis sp.,f,Exotic,Exotic
Erigeron sp.,f,Native,Native
Eriostemon scaber ssp. scaber,f,Native,Native
Erythrina hybrida,f,Exotic,Exotic
Erythrina indica,f,Exotic,Exotic
Erythrina sp.,f,Exotic,Exotic
Eucalyptus beyeri,f,Native,Native
Eucalyptus dives,f,Native,Native
Eucalyptus eugenoides,f,Native,Native
Eucalyptus latifolius,f,Native,Native
Eucalyptus spp.,f,Native,Genus Only
Vulpia sp.,f,Exotic,Exotic
Eucalyptus triflora,f,Native,Native
Euodia melicope,f,Native,Native
Euphorbia sp.,f,Exotic,Exotic
Ficus elastica,f,Exotic,Exotic
Ficus hilii,f,Native,Native
Ficus spp.,f,Native,Genus Only
Freesia refracta,f,Exotic,Exotic
Freesia sp.,f,Exotic,Exotic
Funaria spp.,f,Exotic,Genus Only
Gahnia spp.,f,Native,Genus Only
Galactia sp.,f,Native,Genus Only
Gamochaeta americanum,f,Exotic,Exotic
Gazania hybrid,f,Exotic,Exotic
Gazania sp.,f,Exotic,Exotic
Geranium sp.,f,Native,Native
Ghazania hybrid,f,Exotic,Exotic
Gleichenia spp.,f,Native,Genus Only
Glochidion ferdinandi var. ferdinandi,f,Native,Native
Glycine sp.,f,Native,Native
Gnaphalium sp.,f,Exotic,Exotic
Gnapthalium sp.,f,Exotic,Exotic
Gomphocarpus sp.,f,Exotic,Genus Only
Gompholobium virgatum,f,Native,Native
Gonocarpus tenuifolia,f,Native,Native
Goodenia hederacea ssp. hederacea,f,Native,Native
Goodenia sp.,f,Native,Native
Grevillea sp.,f,Native,Native
Helichrysum brachycarpum,f,Exotic,Exotic
Hibbertia empetrifolia,f,Native,Native
Hibbertia sp.,f,Native,Native
Hibiscus heterophyllus,f,Native,Native
Hibiscus spp.,f,Native,Genus Only
Hovea lanceolata,f,Native,Native
Hydrocotyle sp.,f,Native,Native
Hypericum spp.,f,Native,Genus Only
Hypochoeris microcephala var. albiflora,f,Exotic,Exotic
Impatiens sp.,f,Exotic,Genus Only
Jacksonia sp.,f,Native,Native
Juncus acutus,f,Exotic,Exotic
Juncus articulatus,f,Exotic,Exotic
Juncus cognatus,f,Exotic,Exotic
Juncus sp.,f,Native,Native
Juncus sp. a,f,Native,Native
Kniphofia uvaria,f,Exotic,Exotic
Lasiopetalum ferrugineum var. ferrigineum,f,Native,Native
Lasiopetalum ferrugineum var. ferrugineum,f,Native,Native
Lepidium campestre,f,Exotic,Exotic
Lepidium sp.,f,Native,Native
Lepidosperma sp.,f,Native,Genus Only
Leptomeria laterale,f,Native,Native
Leptomeria sp.,f,Native,Genus Only
Leptospermum spp.,f,Native,Genus Only
Lepyrodia sp.,f,Native,Native
Lolium sp.,f,Exotic,Genus Only
Lolium vulgare,f,Exotic,Exotic
Lomandra confertifolia ssp. rubiginosa,f,Native,Native
Lomandra filiformis ssp. coriacea,f,Native,Native
Lomandra filiformis ssp. filiformis,f,Native,Native
Lomandra sp.,f,Native,Native
Lotus australis,f,Native,Native
Lotus spp.,f,Native,Genus Only
Lupinus sp.,f,Exotic,Genus Only
Lycopodium cernuum,f,Native,Native
Lythrum hyssopiphyllum,f,Native,Native
Macadamia spp.,f,Native,Genus Only
Macrozamia sp.,f,Native,Genus Only
Malus sp.,f,Exotic,Genus Only
Medicago ericifolia,f,Exotic,Exotic
Medicago sp.,f,Exotic,Genus Only
Microlaena sp.,f,Native,Genus Only
Microlaena stipoides var. stipoides,f,Native,Native
Microtis sp.,f,Native,Genus Only
Mimulus moschatus,f,Exotic,Exotic
Mimulus repens,f,Native,Native
Musa sp.,f,Exotic,Genus Only
Myriophyllum asparagoides,f,Exotic,Exotic
Notelaea sp.,f,Native,Genus Only
Notelaea spp.,f,Native,Genus Only
Nymphoides spp.,f,Native,Genus Only
Olea africana ssp. africana,f,Exotic,Exotic
Omalanthus nutans,f,Exotic,Exotic
Onopordum sp.,f,Exotic,Genus Only
Opercularia pandorana,f,Native,Native
Opercularia sp.,f,Native,Genus Only
Ophioglossum lusitanicum ssp. coriaceum,f,Native,Native
Oplismenus imbecilis,f,Native,Native
Opuntia sp.,f,Exotic,Exotic
Opuntia ssp.,f,Exotic,Exotic
Ottelia ovalifolia,f,Native,Native
Oxalis incarnata,f,Exotic,Exotic
Palmeria spp.,f,Native,Genus Only
Pandorea pandorana spp. pandorana,f,Native,Native
Panicum gilvum,f,Exotic,Exotic
Panicum sp.,f,Native,Genus Only
Pararchidendron pruinosum,f,Native,Native
Parentucellia latifolia,f,Exotic,Exotic
Parrentucellia plebeia,f,Exotic,Exotic
Paspalidium sp.,f,Native,Genus Only
Paspalum paspalodes,f,Native,Native
Passiflora mollissima,f,Exotic,Exotic
Persicaria spp.,f,Native,Genus Only
Persoonia laurina,f,Native,Native
Petrorhagia sp.,f,Exotic,Genus Only
Phormium tena,f,Native,Native
Phragmites spp.,f,Native,Genus Only
Phyllanthus pimelioides,f,Exotic,Exotic
Robinia pseudoacacia,t,Exotic,Exotic
Pittosporum labillardieri,f,Native,Native
Platysace sp.,f,Native,Genus Only
Plectranthus sp.,f,Native,Genus Only
Plumbago spp.,f,Exotic,Exotic
Poa spp.,f,Native,Genus Only
Pollia crispata,f,Native,Native
Pollia japonica,f,Exotic,Exotic
Cyperus reflexus,t,Exotic,Exotic
Polycarpon sambucifolia,f,Exotic,Exotic
Polygonum spp.,f,Native,Genus Only
Polypogon sp.,f,Exotic,Genus Only
Pomaderris sp.,f,Native,Native
Populus sp.,f,Exotic,Genus Only
Poranthera spp.,f,Native,Genus Only
Potamogeton pectinatus,f,Native,Native
Potamogeton tricarinatus,f,Native,Native
Protasparagus plumoides,f,Native,Native
Pseuderanthemum luteoalbum,f,Native,Native
Pterostylis spp.,f,Native,Genus Only
Ptilanthelium deustum,f,Native,Native
Pultenaea sp.,f,Native,Native
Pyracantha fortuneana,f,Exotic,Exotic
Pyrrosia spp.,f,Native,Genus Only
Quercus palustris,f,Exotic,Exotic
Quercus sp.,f,Exotic,Genus Only
Ranunculus sp.,f,Exotic,Exotic
Rubus fructicosis,f,Exotic,Exotic
Rubus fructicosus,f,Exotic,Exotic
Rubus rosifolius,f,Native,Native
Rubus sp.,f,Native,Native
Rubus vulgaris,f,Exotic,Exotic
Rumex spp.,f,Exotic,Exotic
Sansevieria trifasciata,f,Exotic,Exotic
Scefflera actinophylla,f,Native,Native
Schinus acreira,f,Exotic,Exotic
Schoenoplectus litoralis,f,Native,Native
Schoenoplectus mucronatus,f,Native,Native
Schoenoplectus spp.,f,Native,Genus Only
Schoenus validus,f,Native,Native
Scirpus spp.,f,Native,Genus Only
Sedum acre,f,Exotic,Exotic
Senecio sp.,f,Native,Native
Senna cotuloides,f,Native,Native
Senna spp.,f,Native,Genus Only
Sertaria geniculata,f,Exotic,Exotic
Setaria spp.,f,Exotic,Exotic
Solanum brownii,f,Native,Native
Solanum campanulatum,f,Native,Native
Solanum sp.,f,Native,Native
Solanum vescum,f,Native,Native
Solidago canadensis,f,Exotic,Exotic
Soliva anthemifolia,f,Exotic,Exotic
Sporobolus pyramidalis,f,Exotic,Exotic
Stephania spp.,f,Native,Genus Only
Syzygium luehmannii,f,Native,Native
Taraxum officinale,f,Exotic,Exotic
Teline monospessulana,f,Native,Native
Thelymitra sp.,f,Native,Native
Thysanotus spp.,f,Native,Genus Only
Tradescantia majus,f,Exotic,Exotic
Tradescantia sp.,f,Exotic,Exotic
Trema tomentosa var. aspera,f,Native,Native
Trifolium sp.,f,Native,Genus Only
Triglochin microtuberosa,f,Native,Native
Typha spp.,f,Native,Genus Only
Typhonium sp.,f,Native,Genus Only
Verbena spp.,f,Exotic,Exotic
Vernonia sp.,f,Native,Genus Only
Veronica calycina,f,Native,Native
Wahlenbergia sp.,f,Native,Native
Watsonia angusta-bulbifera,f,Exotic,Exotic
Watsonia angusta-bulbiferum,f,Exotic,Exotic
Watsonia bulbifera,f,Exotic,Exotic
Watsonia sp.,f,Exotic,Exotic
Wurmbea piperita,f,Native,Native
Xanthoraceae sp.,f,Native,Genus Only
Xanthorrhoea latifolia,f,Native,Native
Xanthorrhoea sp.,f,Native,Genus Only
Yucca spp.,f,Exotic,Exotic
Zieria laevigata,f,Native,Native
Philotheca buxifolia,f,Native,Native
Boronia anemonifolia,f,Native,Native
Urochloa panicoides,f,Exotic,Exotic
logania albiflora,f,Native,Native
Eragrostis mexicana,f,Exotic,Exotic
Daviesia ulicifolia subsp. stenophylla,f,Native,Native
Verbena brasiliensis,f,Exotic,Exotic
Darwinia taxifolia,f,Native,Native
