scientific_name,exotic,native,category
Spergularia rubra,t,Exotic,Exotic
Stellaria media,t,Exotic,Exotic
Atriplex prostrata,t,Exotic,Exotic
Chenopodium album,t,Exotic,Exotic
Chenopodium murale,t,Exotic,Exotic
Dysphania ambrosioides,t,Exotic,Exotic
Hypericum perforatum,t,Exotic,Exotic
Callisia fragrans,t,Exotic,Exotic
Tradescantia fluminensis,t,Exotic,Exotic
Tradescantia pallida,t,Exotic,Exotic
Tradescantia zebrina,t,Exotic,Exotic
Ipomoea indica,t,Exotic,Exotic
Ipomoea purpurea,t,Exotic,Exotic
Ipomoea quamoclit,t,Exotic,Exotic
Bryophyllum daigremontianum,t,Exotic,Exotic
Bryophyllum delagoense,t,Exotic,Exotic
Cyperus aggregatus,t,Exotic,Exotic
Cyperus albostriatus,t,Exotic,Exotic
Cyperus brevifolius,t,Exotic,Exotic
Cyperus eragrostis,t,Exotic,Exotic
Cyperus involucratus,t,Exotic,Exotic
Cyperus rotundus,t,Exotic,Exotic
Cyperus sesquiflorus,t,Exotic,Exotic
